player_id,source_rank,full_name,normalized_name,slug,current_club,country_raw,country_code_guess,nationality,primary_position,category,date_of_birth,appearances,minutes_played,goals,assists,goals_per_90,assists_per_90
raw_1,1,Ellyes Skhiri,ELLYES SKHIRI,ELLYES_SKHIRI,Eintracht Francfort,🇩🇪 ALL,ALL,ALL,MDC,Elite A,,0,0,0,0,0.0,0.0
raw_2,2,Montassar Talbi,MONTASSAR TALBI,MONTASSAR_TALBI,FC Lorient,🇫🇷 FRA,FRA,FRA,DC,Elite A,,0,0,0,0,0.0,0.0
raw_3,3,Hannibal Mejbri,HANNIBAL MEJBRI,HANNIBAL_MEJBRI,Burnley FC,🏴 ANG,ANG,ANG,MO,Elite A,,0,0,0,0,0.0,0.0
raw_4,4,Rani Khedira,RANI KHEDIRA,RANI_KHEDIRA,Union Berlin,🇩🇪 ALL,ALL,ALL,MDC,Elite A,,0,0,0,0,0.0,0.0
raw_5,5,Ismaël Gharbi,ISMAËL GHARBI,ISMAËL_GHARBI,FC Augsbourg,🇩🇪 ALL,ALL,ALL,MO,Elite A,,0,0,0,0,0.0,0.0
raw_6,6,Ali Abdi,ALI ABDI,ALI_ABDI,OGC Nice,🇫🇷 FRA,FRA,FRA,DG,Elite A,,0,0,0,0,0.0,0.0
raw_7,7,Elias Achouri,ELIAS ACHOURI,ELIAS_ACHOURI,FC Copenhague,🇩🇰 DAN,DAN,DAN,AI,Elite A,,0,0,0,0,0.0,0.0
raw_8,8,Aïssa Laïdouni,AÏSSA LAÏDOUNI,AÏSSA_LAÏDOUNI,Al-Wakrah SC,🇶🇦 QAT,QAT,QAT,MC,Elite A,,0,0,0,0,0.0,0.0
raw_9,9,Hamza Rafia,HAMZA RAFIA,HAMZA_RAFIA,Lecce,🇮🇹 ITA,ITA,ITA,MO,Elite A,,0,0,0,0,0.0,0.0
raw_10,10,Anis Ben Slimane,ANIS BEN SLIMANE,ANIS_BEN_SLIMANE,Norwich City,🏴 ANG,ANG,ANG,MC,Elite A,,0,0,0,0,0.0,0.0
raw_11,11,Elias Saad,ELIAS SAAD,ELIAS_SAAD,FC Augsbourg,🇩🇪 ALL,ALL,ALL,AI,Elite A,,0,0,0,0,0.0,0.0
raw_12,12,Sayfallah Ltaief,SAYFALLAH LTAIEF,SAYFALLAH_LTAIEF,FC Twente,🇳🇱 PBA,PBA,PBA,AI,Elite A,,0,0,0,0,0.0,0.0
raw_13,13,M. Ali Ben Romdhane,M. ALI BEN ROMDHANE,M._ALI_BEN_ROMDHANE,Al Ahly,🇪🇬 EGY,EGY,EGY,MC,Elite A,,0,0,0,0,0.0,0.0
raw_14,14,Alaa Ghram,ALAA GHRAM,ALAA_GHRAM,Shakhtar Donetsk,🇺🇦 UKR,UKR,UKR,DC,Elite A,,0,0,0,0,0.0,0.0
raw_15,15,Moutaz Neffati,MOUTAZ NEFFATI,MOUTAZ_NEFFATI,IFK Norrköping,🇸🇪 SUE,SUE,SUE,DD,Elite A,,0,0,0,0,0.0,0.0
raw_16,16,Yan Valery,YAN VALERY,YAN_VALERY,Young Boys Berne,🇨🇭 SUI,SUI,SUI,DD,Elite A,,0,0,0,0,0.0,0.0
raw_17,17,Dylan Bronn,DYLAN BRONN,DYLAN_BRONN,Servette FC,🇨🇭 SUI,SUI,SUI,DC,Elite A,,0,0,0,0,0.0,0.0
raw_18,18,Mohamed Belhadj M.,MOHAMED BELHADJ M.,MOHAMED_BELHADJ_M.,FC Lugano,🇨🇭 SUI,SUI,SUI,MDC,Elite A,,0,0,0,0,0.0,0.0
raw_19,19,Sebastian Tounekti,SEBASTIAN TOUNEKTI,SEBASTIAN_TOUNEKTI,Celtic FC,🏴 ECO,ECO,ECO,AI,Elite A,,0,0,0,0,0.0,0.0
raw_20,20,Louay Ben Farhat,LOUAY BEN FARHAT,LOUAY_BEN_FARHAT,Karlsruher SC,🇩🇪 ALL,ALL,ALL,BU,Elite A,,0,0,0,0,0.0,0.0
raw_21,21,Nader Ghandri,NADER GHANDRI,NADER_GHANDRI,Akhmat Grozny,🇷🇺 RUS,RUS,RUS,DC,Elite A,,0,0,0,0,0.0,0.0
raw_22,22,Hazem Mastouri,HAZEM MASTOURI,HAZEM_MASTOURI,D. Makhachkala,🇷🇺 RUS,RUS,RUS,BU,Elite A,,0,0,0,0,0.0,0.0
raw_23,23,Ferjani Sassi,FERJANI SASSI,FERJANI_SASSI,Al-Gharafa,🇶🇦 QAT,QAT,QAT,MC,Elite A,,0,0,0,0,0.0,0.0
raw_24,24,Youssef Msakni,YOUSSEF MSAKNI,YOUSSEF_MSAKNI,Al-Arabi SC,🇶🇦 QAT,QAT,QAT,AI,Elite A,,0,0,0,0,0.0,0.0
raw_25,25,Mortadha Ben Ouanes,MORTADHA BEN OUANES,MORTADHA_BEN_OUANES,Kasimpasa,🇹🇷 TUR,TUR,TUR,DG,Elite A,,0,0,0,0,0.0,0.0
raw_26,26,Firas Belarbi,FIRAS BELARBI,FIRAS_BELARBI,Sharjah FC,🇦🇪 EAU,EAU,EAU,MO,Elite A,,0,0,0,0,0.0,0.0
raw_27,27,Saad Bguir,SAAD BGUIR,SAAD_BGUIR,Al-Wehda,🇸🇦 ARA,ARA,ARA,MO,Elite A,,0,0,0,0,0.0,0.0
raw_28,28,Rayan Elloumi,RAYAN ELLOUMI,RAYAN_ELLOUMI,Vancouver Whitecaps,🇨🇦 CAN,CAN,CAN,BU,Elite A,,0,0,0,0,0.0,0.0
raw_29,29,Wassim Slama,WASSIM SLAMA,WASSIM_SLAMA,Paris SG,🇫🇷 FRA,FRA,FRA,MO,Espoir Elite,,0,0,0,0,0.0,0.0
raw_30,30,Slim Bouaskar,SLIM BOUASKAR,SLIM_BOUASKAR,AS Roma,🇮🇹 ITA,ITA,ITA,GB,Espoir Elite,,0,0,0,0,0.0,0.0
raw_31,31,Thomas Zouaghi,THOMAS ZOUAGHI,THOMAS_ZOUAGHI,Sassuolo,🇮🇹 ITA,ITA,ITA,GB,Espoir Elite,,0,0,0,0,0.0,0.0
raw_32,32,Mayssam Benama,MAYSSAM BENAMA,MAYSSAM_BENAMA,AS Monaco,🇫🇷 FRA,FRA,FRA,MC,Espoir Elite,,0,0,0,0,0.0,0.0
